;0;0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9;1;1.1;1.2;1.3;1.4;1.5;1.6;1.7;1.8;1.9;2;2.1;2.2;2.3;2.4;2.5;2.6;2.7;2.8;2.9;3;3.1;3.2;3.3;3.4;3.5;3.6;3.7;3.8;3.9;
0;0;0.309008;0.58777;0.809001;0.951045;1;0.951074;0.809055;0.587845;0.309096;9.26536e-005;-0.30892;-0.587695;-0.808946;-0.951016;-1;-0.951102;-0.80911;-0.58792;-0.309184;-0.000185307;0.308832;0.58762;0.808892;0.950988;1;0.951131;0.809164;0.587995;0.309273;0.000277961;-0.308744;-0.587545;-0.808837;-0.950959;-1;-0.95116;-0.809218;-0.58807;0;
0.004;0;0.29691;0.564758;0.777326;0.913809;0.960848;0.913837;0.777379;0.56483;0.296994;8.9026e-005;-0.296825;-0.564686;-0.777274;-0.913782;-0.960847;-0.913864;-0.777431;-0.564902;-0.297079;-0.000178052;0.29674;0.564614;0.777222;0.913754;0.960847;0.913892;0.777483;0.564974;0.297164;0.000267078;-0.296656;-0.564541;-0.777169;-0.913727;-0.960847;-0.913919;-0.777536;-0.441301;0;
0.008;0;0.285285;0.542646;0.746892;0.878031;0.923228;0.878058;0.746942;0.542715;0.285366;8.55404e-005;-0.285204;-0.542577;-0.746842;-0.878005;-0.923228;-0.878084;-0.746993;-0.542784;-0.285448;-0.000171081;0.285122;0.542507;0.746791;0.877978;0.923228;0.878111;0.747043;0.542854;0.285529;0.000256621;-0.285041;-0.542438;-0.746741;-0.877952;-0.923228;-0.878137;-0.697595;-0.399274;0;
0.012;0;0.274115;0.5214;0.717649;0.843654;0.887081;0.84368;0.717698;0.521466;0.274194;8.21913e-005;-0.274037;-0.521333;-0.717601;-0.843629;-0.887081;-0.843705;-0.717746;-0.521533;-0.274272;-0.000164383;0.273959;0.521267;0.717553;0.843603;0.887081;0.84373;0.717794;0.521599;0.27435;0.000246574;-0.273881;-0.5212;-0.717504;-0.843578;-0.887081;-0.823957;-0.650484;-0.358893;0;
0.016;0;0.263383;0.500986;0.689552;0.810623;0.85235;0.810647;0.689598;0.50105;0.263458;7.89733e-005;-0.263308;-0.500922;-0.689505;-0.810599;-0.85235;-0.810672;-0.689644;-0.501114;-0.263533;-0.000157947;0.263233;0.500858;0.689459;0.810574;0.85235;0.810696;0.689691;0.501178;0.263608;0.00023692;-0.263158;-0.500794;-0.689412;-0.81055;-0.84443;-0.779817;-0.603237;-0.331972;0;
0.02;0;0.253071;0.481371;0.662554;0.778885;0.818978;0.778909;0.662598;0.481432;0.253143;7.58813e-005;-0.252999;-0.48131;-0.662509;-0.778862;-0.818978;-0.778932;-0.662643;-0.481494;-0.253215;-0.000151763;0.252927;0.481248;0.662465;0.778838;0.818978;0.778955;0.662688;0.481555;0.253287;0.000227644;-0.252854;-0.481187;-0.66242;-0.775647;-0.805033;-0.73503;-0.565363;-0.307689;0;
0.024;0;0.243163;0.462524;0.636613;0.74839;0.786913;0.748412;0.636656;0.462583;0.243232;7.29103e-005;-0.243093;-0.462465;-0.63657;-0.748367;-0.786913;-0.748435;-0.636699;-0.462642;-0.243301;-0.000145821;0.243024;0.462406;0.636528;0.748345;0.786913;0.748457;0.636742;0.462701;0.243371;0.000218731;-0.242955;-0.462347;-0.635218;-0.742111;-0.765277;-0.695164;-0.53016;-0.287683;0;
0.028;0;0.233642;0.444415;0.611688;0.719089;0.756104;0.71911;0.611729;0.444472;0.233709;7.00557e-005;-0.233576;-0.444358;-0.611647;-0.719067;-0.756104;-0.719132;-0.611771;-0.444529;-0.233775;-0.000140111;0.233509;0.444302;0.611606;0.719045;0.756104;0.719153;0.611812;0.444585;0.233842;0.000210167;-0.233442;-0.443738;-0.608827;-0.70862;-0.727965;-0.657208;-0.499171;-0.269601;0;
0.032;0;0.224495;0.427015;0.587739;0.690934;0.7265;0.690955;0.587779;0.42707;0.224559;6.73128e-005;-0.22443;-0.426961;-0.5877;-0.690914;-0.7265;-0.690976;-0.587818;-0.427124;-0.224623;-0.000134626;0.224366;0.426906;0.58766;0.690893;0.7265;0.690997;0.587858;0.427179;0.224687;0.000201939;-0.2241;-0.425655;-0.582709;-0.676441;-0.691924;-0.622296;-0.470558;-0.253589;0;
0.036;0;0.215705;0.410296;0.564728;0.663883;0.698056;0.663903;0.564766;0.410349;0.215766;6.46774e-005;-0.215643;-0.410244;-0.56469;-0.663863;-0.698056;-0.663923;-0.564804;-0.410401;-0.215828;-0.000129355;0.215582;0.410192;0.564652;0.663843;0.698056;0.663943;0.564842;0.410453;0.21589;0.000275129;-0.215001;-0.407854;-0.55738;-0.645141;-0.65788;-0.589452;-0.444465;-0.238941;0;
0.04;0;0.20726;0.394232;0.542617;0.63789;0.670725;0.637909;0.542654;0.394283;0.207319;6.21451e-005;-0.2072;-0.394182;-0.542581;-0.637871;-0.670725;-0.637928;-0.54269;-0.394333;-0.207378;-0.00012429;0.207141;0.394132;0.542544;0.637852;0.670725;0.637948;0.542727;0.394383;0.207469;0.000410332;-0.206032;-0.390523;-0.532674;-0.615132;-0.625413;-0.558828;-0.42025;-0.225574;0;
0.044;0;0.199145;0.378797;0.521372;0.612915;0.644465;0.612933;0.521407;0.378845;0.199202;5.9712e-005;-0.199088;-0.378749;-0.521337;-0.612897;-0.644465;-0.612952;-0.521443;-0.378894;-0.199258;-0.000119424;0.199031;0.378701;0.521302;0.612878;0.644465;0.61297;0.521478;0.378955;0.199411;0.000657021;-0.197252;-0.373587;-0.508797;-0.586261;-0.594667;-0.530031;-0.397811;-0.213215;0;
0.048;0;0.191348;0.363966;0.500959;0.588918;0.619232;0.588936;0.500993;0.364013;0.191402;5.73741e-005;-0.191293;-0.36392;-0.500926;-0.5889;-0.619232;-0.588953;-0.501027;-0.364059;-0.191457;-0.000114748;0.191239;0.363873;0.500892;0.588882;0.619232;0.588971;0.501066;0.364147;0.191727;0.00099526;-0.188622;-0.357137;-0.485699;-0.558638;-0.56545;-0.502997;-0.376861;-0.201767;0;
