;0;0.169492;0.338983;0.508475;0.677966;0.847458;1.01695;1.18644;1.35593;1.52542;1.69492;1.86441;2.0339;2.20339;2.37288;2.54237;2.71186;2.88136;3.05085;3.22034;3.38983;3.55932;3.72881;3.89831;4.0678;4.23729;4.40678;4.57627;4.74576;4.91525;5.08475;5.25424;5.42373;5.59322;5.76271;5.9322;6.10169;6.27119;6.44068;6.61017;6.77966;6.94915;7.11864;7.28814;7.45763;7.62712;7.79661;7.9661;8.13559;8.30508;8.47458;8.64407;8.81356;8.98305;9.15254;9.32203;9.49153;9.66102;9.83051;10;
0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
0.0289855;1;0.616506;0.852932;0.9436;0.978371;0.991705;0.996819;0.99878;0.999532;0.999821;0.999931;0.999974;0.99999;0.999996;0.999999;0.999999;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
0.057971;1;0.445615;0.721861;0.868203;0.939818;0.973224;0.988314;0.994975;0.997864;0.999101;0.999625;0.999844;0.999936;0.999974;0.999989;0.999996;0.999998;0.999999;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
0.0869565;1;0.356333;0.624179;0.795213;0.893907;0.947098;0.974396;0.9879;0.994392;0.997443;0.99885;0.999489;0.999775;0.999902;0.999957;0.999982;0.999992;0.999997;0.999999;0.999999;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
0.115942;1;0.302827;0.552626;0.731508;0.847254;0.916762;0.956204;0.977615;0.988834;0.994544;0.997381;0.998762;0.999422;0.999734;0.999879;0.999945;0.999975;0.999989;0.999995;0.999998;0.999999;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
0.144928;1;0.267178;0.499025;0.677748;0.803189;0.884958;0.935206;0.964643;0.981223;0.990259;0.995049;0.997529;0.998786;0.999412;0.999719;0.999867;0.999938;0.999971;0.999987;0.999994;0.999997;0.999999;0.999999;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
0.173913;1;0.241518;0.457606;0.632643;0.762976;0.853455;0.912712;0.949674;0.971802;0.984592;0.991766;0.995686;0.997779;0.998875;0.999438;0.999723;0.999865;0.999935;0.999969;0.999985;0.999993;0.999997;0.999999;0.999999;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
0.202899;1;0.221992;0.42463;0.594587;0.726828;0.823242;0.889711;0.933385;0.960915;0.977654;0.987518;0.993172;0.996335;0.998066;0.998995;0.999485;0.99974;0.99987;0.999936;0.999968;0.999985;0.999993;0.999996;0.999998;0.999999;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
0.231884;1;0.206514;0.397689;0.562161;0.694497;0.794789;0.866881;0.916346;0.948925;0.969621;0.982354;0.989968;0.994408;0.996938;0.998351;0.999125;0.999542;0.999763;0.999879;0.999939;0.999969;0.999985;0.999993;0.999996;0.999998;0.999999;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
